r  Veff10 alpha10 ui10 utan10 cn10 ct10 Veff15 alpha15 ui15 utan15 cn15 ct15 Veff24 alpha24 ui24 utan24 cn24 ct24 
1.7559375 78.0364536084 2.59659598834  4.23042112746 77.9215077396 0.596929535205 0.0178535754595 78.3502597945 5.92065470672  8.77660312204 77.8566376915 0.961066317675 0.089848689613 79.0885522721 12.8943296807  18.3359581624 76.932762534 1.05445705497 0.182116599474
1.7878125 79.7568138008 2.67734080135  4.22424533188 79.6446819429 0.606733347672 0.0191462019301 80.2357047199 5.91834958405  8.77266187379 79.7542351403 0.957375547352 0.0894652918572 81.2755554569 12.8466476329  18.5668227036 79.1255279201 1.03806774589 0.178849886249
1.8196875 80.8184983041 2.67936895287  4.0681903041 80.715844927 0.606902322484 0.0191767434941 81.1376913855 5.96460760355  8.72136241406 80.6671258129 0.957241243044 0.0902654195359 81.9468698485 12.8003304044  18.4431221954 79.8433259015 1.01999672589 0.175312499322
1.8515625 82.0935699472 2.72798380934  3.98333750936 81.9966832766 0.612728941926 0.0199674332824 82.4728229973 5.99988281003  8.69671143077 82.0125534795 0.954789627269 0.0906536534521 83.4128913723 12.7405192117  18.4713768478 81.340785076 0.999822056079 0.171310758982
1.8834375 83.3777297892 2.7672616788  3.88067632006 83.2871843058 0.617342200861 0.0206107261794 83.8887406522 6.01490672323  8.64543417922 83.4416051431 0.948803669238 0.0903466448359 84.8627866092 12.6725757166  18.4734026192 82.8266049015 0.977287280193 0.166857394613
1.9153125 85.4671825633 2.76318892882  3.74423672029 85.3849354731 0.616579761683 0.0205341813662 85.6551911998 5.98216360199  8.55163742767 85.2268138013 0.936963655584 0.088657652255 87.0295679529 12.852461033  18.9850717996 84.9327201121 0.947826834214 0.163355564722
1.9471875 87.0349849292 2.78090336819  3.60460397176 86.9601253465 0.618339805629 0.0208151709207 87.0750847492 6.01428723015  8.50759129094 86.6580744318 0.928079049264 0.0883648771125 88.4637484448 12.8456972941  19.0541482282 86.3864877754 0.917964207042 0.158154613191
1.9790625 88.4863726174 2.80944012321  3.46420657106 88.4183377517 0.621170805424 0.021269888737 88.4680113563 6.04181485489  8.4424403019 88.0638366639 0.915361722971 0.0876147429416 89.9214351629 12.8904480275  19.1937465501 87.8481620324 0.883467512823 0.152562151151
2.0109375 89.7211177862 2.8657583699  3.3475297685 89.6584724377 0.626839809587 0.0221780269229 89.9291592154 6.10745819239  8.43164441314 89.5326487335 0.900729135465 0.0872962555002 91.3907972902 12.9685464596  19.3769538811 89.3121438793 0.843748919688 0.146289794813
2.0428125 90.8601286662 2.90054685019  3.18097970508 90.8042457483 0.629233396734 0.0227040741171 91.3982466995 6.1656592287  8.39708328498 91.011297031 0.879169443435 0.0861383925492 92.8735589539 13.0848177278  19.6114257377 90.7785230422 0.79815991214 0.139199652623
2.0746875 92.0080718056 2.89721454251  2.94131501173 91.9608630761 0.626359231199 0.022558108696 92.2937345407 6.3558120132  8.51014385343 91.9001291133 0.854443316183 0.0866574497673 93.8848664897 12.7962758973  19.0882387475 91.9230476298 0.752935641239 0.129390813778
2.1065625 93.1687445565 2.9443902567  2.77181391087 93.1273182837 0.626617519097 0.0231615415206 93.9434198464 6.59553771428  8.76908579177 93.5328964337 0.816551014495 0.0863101872978 95.4932743535 13.0009138795  19.4646222072 93.4874113499 0.690530550226 0.119921278387
2.1384375 95.5172460708 3.12812213499  2.82828226397 95.4751559507 0.632177834486 0.0256826349441 95.8150812073 6.99479603969  9.28923835128 95.3633638841 0.760474525644 0.0855995708298 97.4069058602 13.9107177923  21.0480454102 95.1044028942 0.608351182389 0.110314347505
2.1703125 97.222065203 3.70171937395  3.47538210255 97.1597661594 0.629861185303 0.032624877406 97.4363164507 7.8754341455  10.5608330839 96.8620738006 0.662081616036 0.0830644064491 98.9854473014 14.5537344646  22.0987438246 96.4851997423 0.512010343073 0.0954428875824
2.2021875 97.8492539569 4.71416566564  4.7950367184 97.7315601965 0.548865995299 0.0389368366766 98.6894511297 9.08066384001  12.3269624154 97.916430686 0.500623768264 0.0703938904424 100.438119146 14.8972033558  22.578875633 97.8649263943 0.398605119953 0.0753430506122
2.2340625 99.605788139 5.9057024279  6.49185530467 99.3939009024 0.34588481416 0.0322459038348 100.189464462 10.2400546639  14.0670881791 99.1969223491 0.281637496118 0.0430233032933 102.05295044 15.7295791017  23.9280859154 99.2050909403 0.227043726891 0.0442799194187
