x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.9838 9.43716 0.063351 1.10902e-05 14.4563 0.0602576 0.000307822 23.7207 0.0333631 -3.85935e-06
-3.9798 9.43617 0.0634821 1.1308e-05 14.4554 0.060386 0.000307956 23.7202 0.0334367 -4.02942e-06
-3.9758 9.43518 0.0636134 1.16785e-05 14.4544 0.0605148 0.000307975 23.7196 0.0335104 -4.00252e-06
-3.9718 9.43419 0.0637456 1.17774e-05 14.4534 0.0606446 0.000308115 23.7191 0.0335842 -4.00789e-06
-3.9678 9.4332 0.0638781 1.21806e-05 14.4525 0.0607739 0.000308166 23.7186 0.0336584 -4.12567e-06
-3.9638 9.4322 0.0640105 1.23187e-05 14.4515 0.0609031 0.000308228 23.7181 0.0337327 -4.22103e-06
-3.95979 9.4312 0.0641432 1.26506e-05 14.4506 0.0610337 0.00030821 23.7175 0.0338072 -4.15962e-06
-3.95579 9.4302 0.0642766 1.2881e-05 14.4496 0.0611642 0.000308361 23.717 0.0338819 -4.22612e-06
-3.95179 9.4292 0.0644102 1.31435e-05 14.4486 0.0612951 0.000308381 23.7165 0.0339569 -4.40237e-06
-3.94779 9.4282 0.0645446 1.34221e-05 14.4477 0.0614261 0.000308323 23.7159 0.0340318 -4.36772e-06
-3.94379 9.42719 0.0646786 1.37275e-05 14.4467 0.0615579 0.000308362 23.7154 0.0341072 -4.4394e-06
-3.93979 9.42618 0.0648134 1.4065e-05 14.4457 0.0616893 0.000308381 23.7148 0.0341826 -4.50372e-06
-3.93579 9.42517 0.0649476 1.41194e-05 14.4447 0.0618216 0.000308503 23.7143 0.0342584 -4.6203e-06
-3.93178 9.42416 0.065083 1.44787e-05 14.4438 0.0619541 0.0003085 23.7138 0.0343342 -4.62059e-06
-3.92778 9.42315 0.0652183 1.4903e-05 14.4428 0.0620866 0.000308566 23.7132 0.0344105 -4.66713e-06
-3.92378 9.42213 0.0653543 1.50137e-05 14.4418 0.0622201 0.000308611 23.7127 0.0344866 -4.73384e-06
-3.91978 9.42111 0.0654896 1.53562e-05 14.4408 0.0623536 0.00030859 23.7121 0.0345632 -4.67478e-06
-3.91578 9.42009 0.0656261 1.56278e-05 14.4398 0.0624871 0.000308729 23.7116 0.0346399 -4.80779e-06
-3.91178 9.41906 0.0657631 1.5906e-05 14.4388 0.0626214 0.0003087 23.711 0.0347169 -4.84935e-06
-3.90777 9.41804 0.0659002 1.62123e-05 14.4378 0.062756 0.000308773 23.7105 0.0347939 -4.91502e-06
-3.90377 9.41702 0.0660377 1.64819e-05 14.4368 0.0628906 0.000308731 23.7099 0.0348712 -5.03267e-06
-3.89977 9.41598 0.0661753 1.67494e-05 14.4359 0.0630256 0.000308717 23.7094 0.0349486 -5.04488e-06
-3.89577 9.41495 0.0663129 1.685e-05 14.4349 0.0631609 0.000308927 23.7088 0.0350264 -5.0607e-06
-3.89177 9.41392 0.0664513 1.7344e-05 14.4339 0.0632971 0.000308919 23.7083 0.0351042 -5.18699e-06
-3.88777 9.41288 0.0665903 1.76888e-05 14.4329 0.0634333 0.000308934 23.7077 0.0351825 -5.17869e-06
-3.88377 9.41185 0.0667294 1.80122e-05 14.4318 0.0635696 0.000308888 23.7072 0.0352608 -5.13323e-06
-3.87976 9.41081 0.0668691 1.8046e-05 14.4308 0.0637064 0.000308968 23.7066 0.0353393 -5.28071e-06
-3.87576 9.40976 0.0670082 1.83185e-05 14.4298 0.063844 0.000308946 23.7061 0.035418 -5.27734e-06
-3.87176 9.40872 0.0671479 1.8639e-05 14.4288 0.0639815 0.000309072 23.7055 0.035497 -5.34231e-06
-3.86776 9.40767 0.0672886 1.89375e-05 14.4278 0.0641195 0.000309097 23.7049 0.0355762 -5.45443e-06
-3.86376 9.40662 0.0674294 1.91449e-05 14.4268 0.0642575 0.000309076 23.7044 0.0356557 -5.48167e-06
-3.85976 9.40557 0.0675699 1.94861e-05 14.4258 0.0643965 0.000309215 23.7038 0.0357353 -5.57845e-06
-3.85575 9.40452 0.0677116 1.98279e-05 14.4248 0.0645355 0.000309205 23.7033 0.0358149 -5.55608e-06
-3.85175 9.40346 0.0678531 2.01661e-05 14.4237 0.0646753 0.00030925 23.7027 0.035895 -5.60747e-06
-3.84775 9.4024 0.0679954 2.0496e-05 14.4227 0.0648148 0.000309303 23.7021 0.0359752 -5.69298e-06
-3.84375 9.40134 0.0681379 2.07544e-05 14.4217 0.0649549 0.000309317 23.7016 0.0360557 -5.81346e-06
-3.83975 9.40028 0.0682805 2.11049e-05 14.4207 0.0650955 0.000309361 23.701 0.0361363 -5.86562e-06
-3.83575 9.39922 0.068423 2.13846e-05 14.4196 0.0652362 0.000309389 23.7004 0.036217 -5.87083e-06
-3.83175 9.39815 0.0685669 2.14667e-05 14.4186 0.0653775 0.000309435 23.6998 0.0362982 -5.93581e-06
-3.82774 9.39708 0.0687109 2.17513e-05 14.4176 0.0655188 0.000309613 23.6993 0.0363795 -6.06294e-06
-3.82374 9.39601 0.0688547 2.2103e-05 14.4165 0.0656608 0.000309615 23.6987 0.036461 -6.04971e-06
-3.81974 9.39494 0.0689995 2.2371e-05 14.4155 0.0658031 0.000309661 23.6981 0.0365426 -6.14127e-06
-3.81574 9.39386 0.0691443 2.26625e-05 14.4145 0.0659458 0.000309627 23.6975 0.0366247 -6.13181e-06
