r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.463008 7.86868418888 -0.158322245298 -1.80902471252 13.1654464625 -0.208422864252 -2.57487066296 23.150735802 0.0878953373982 -2.70420709354
0.464622 7.85558523565 -0.157806846071 -1.80843117519 13.1160431592 -0.197157653112 -2.59709704472 23.131068362 0.0908109101921 -2.71528256167
0.466236 7.84291194922 -0.157387978381 -1.80764136697 13.0657378536 -0.185682759201 -2.61974678604 23.1118421729 0.0926831209064 -2.72571537447
0.46785 7.83065952964 -0.157053757196 -1.80667322533 13.0146464208 -0.174166071137 -2.64274146179 23.0927405673 0.0935256895619 -2.73584051594
0.469464 7.81880235189 -0.156792372684 -1.80553629611 12.9629473612 -0.162769657959 -2.66595350088 23.0734025445 0.0933889291785 -2.74599290758
0.471078 7.80733794932 -0.156598729566 -1.80423036263 12.9108630919 -0.151641749904 -2.68923663222 23.0535352289 0.0923654407772 -2.75644851662
0.472692 7.79628350114 -0.156470372993 -1.80276668323 12.8587378635 -0.140900831772 -2.71242123047 23.0329924535 0.0905871204458 -2.76743058515
0.474306 7.78563797401 -0.156400393783 -1.80114974957 12.8068735932 -0.130643633729 -2.73532759947 23.0115839263 0.088193783055 -2.779089901
0.47592 7.77540943877 -0.156387386675 -1.79937854915 12.7555144899 -0.120931883385 -2.7577874847 22.9892538971 0.0853582851955 -2.79149880595
0.477534 7.76559052873 -0.156434472137 -1.79746100697 12.7049663041 -0.111811770825 -2.77962842334 22.9660159911 0.0822368280059 -2.80466692504
0.479148 7.75618322307 -0.156535859556 -1.79539299803 12.6554859947 -0.103299067745 -2.80069456511 22.9419535417 0.0789757022079 -2.81851905395
0.480762 7.74715026343 -0.15669676477 -1.79319925566 12.6073255621 -0.0953908157949 -2.82085694306 22.9172529659 0.0757281364323 -2.83293607161
0.482376 7.738469554 -0.156917882131 -1.79089003821 12.5606682982 -0.0880856458069 -2.84000379867 22.8920120973 0.0726136146672 -2.8477662152
0.48399 7.73009014057 -0.157192838215 -1.7884825915 12.5157181202 -0.0813514072829 -2.85803926095 22.866457603 0.0697232287638 -2.86282908854
0.485604 7.72196555231 -0.157513927963 -1.78598879471 12.4725339032 -0.0751600764023 -2.87491508396 22.8408246501 0.0671472759798 -2.87793557874
