r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.404906 7.93586043706 -0.582464578283 -0.0138254103046 12.9261199005 -0.761159359735 -0.0251383161446 22.9710309997 -0.633413821378 -0.0292255393935
0.40652 7.93132643733 -0.582588892344 -0.0138491562291 12.9200146039 -0.761423541578 -0.0251812888643 22.9661100377 -0.633601855972 -0.0292460123522
0.408134 7.92678959593 -0.582688256384 -0.0138709518576 12.9139141823 -0.761651782977 -0.025223282415 22.9612302424 -0.633759790129 -0.0292632040536
0.409748 7.92225784619 -0.582765817075 -0.0138921725263 12.9078088857 -0.761845365181 -0.025264240214 22.9563259472 -0.633889735098 -0.0292792390867
0.411362 7.91773266315 -0.582817303161 -0.0139133603187 12.9017005891 -0.762003366527 -0.0253048263428 22.9514294852 -0.633990656297 -0.0292932903685
0.412976 7.91320298842 -0.582845943394 -0.0139341124834 12.8955952926 -0.762126942428 -0.025342550386 22.9465330649 -0.634064399144 -0.0293073733146
0.41459 7.90868408454 -0.58285020944 -0.0139557342733 12.8894615376 -0.762214716636 -0.0253812681791 22.9416287697 -0.63411050572 -0.0293198595912
0.416204 7.90415803481 -0.582832093386 -0.0139749576831 12.8833777827 -0.762268707489 -0.0254201813835 22.9367235577 -0.634126787275 -0.029330966281
0.417818 7.89964001426 -0.582789560645 -0.0139953776758 12.8772686112 -0.762287311645 -0.0254574404217 22.9318486374 -0.634116410894 -0.0293419696374
0.419432 7.89512572705 -0.582725701639 -0.0140144073328 12.8711515229 -0.762270481192 -0.0254920132037 22.9269522172 -0.634078205328 -0.0293515784058
0.421046 7.89061723567 -0.582638045115 -0.0140332042369 12.8650304763 -0.762219817799 -0.0255298064042 22.9220557969 -0.634011453074 -0.0293606413408
0.42266 7.88610922346 -0.582529195237 -0.0140511752627 12.858904638 -0.762134649796 -0.0255655929352 22.9172015433 -0.633918728302 -0.0293699988567
0.424274 7.88160454875 -0.582394665755 -0.014069749581 12.8528160915 -0.762015844685 -0.025600545292 22.9123178731 -0.633797441424 -0.0293768455364
0.425888 7.87710341989 -0.582239877092 -0.0140880792708 12.8467244616 -0.761863206214 -0.0256338368141 22.9074214528 -0.633647108278 -0.0293851851318
0.427502 7.87260708685 -0.582063541326 -0.0141048407076 12.8405986233 -0.761672803967 -0.0256670308352 22.9025505326 -0.633472226366 -0.0293926680571
0.429116 7.86811947049 -0.581862822626 -0.0141200128473 12.8345022018 -0.761447757946 -0.0256991902696 22.897691404 -0.633271507349 -0.0293999405638
0.43073 7.86362882913 -0.58164257891 -0.0141371918648 12.8283851135 -0.761191038566 -0.0257301871975 22.8928244004 -0.633043663315 -0.0294058834842
0.432343 7.85915004194 -0.581396735172 -0.0141530397519 12.8223053586 -0.760901639997 -0.0257605257919 22.8879828969 -0.632788428013 -0.0294127414022
0.433957 7.85467616309 -0.581130712666 -0.0141683777205 12.8161961871 -0.760578028484 -0.0257905472991 22.8831071016 -0.632508390609 -0.0294186880671
0.435571 7.85020895092 -0.580844899731 -0.0141823635182 12.8101085155 -0.760219935694 -0.0258189946351 22.8782655981 -0.632200525686 -0.029424302229
0.437185 7.84574428874 -0.580536283859 -0.0141973580636 12.8040248439 -0.759827324129 -0.0258480711378 22.8734113445 -0.631868605744 -0.0294306168044
0.438799 7.84128335157 -0.580206682139 -0.0142104078978 12.7979284224 -0.759401102958 -0.0258768938835 22.8685864659 -0.631510364954 -0.0294350434592
0.440413 7.83683321023 -0.57985564415 -0.0142249445221 12.7918565425 -0.758942838848 -0.025904445796 22.8637528374 -0.631126545813 -0.0294402901118
0.442027 7.83239394808 -0.57948557073 -0.0142371852679 12.7857816209 -0.758450481794 -0.0259278522817 22.8589152505 -0.630718358321 -0.0294452455116
0.443641 7.82795625676 -0.57909357729 -0.0142497290112 12.7796930744 -0.757926568051 -0.0259533541837 22.854102247 -0.630283756646 -0.0294493675736
0.445255 7.82351944876 -0.578681670502 -0.0142623369595 12.7736388195 -0.757367997615 -0.0259777331661 22.8492686185 -0.629824068285 -0.029453162965
0.446869 7.81909605744 -0.578248478279 -0.0142740796971 12.7675756897 -0.756779783823 -0.0259999542248 22.8444731566 -0.629341239908 -0.0294566583528
0.448483 7.8146767953 -0.577795085208 -0.0142844946391 12.7615293098 -0.75615705084 -0.0260225811165 22.8396768197 -0.628832683598 -0.0294583808205
0.450097 7.8102678415 -0.577323557955 -0.0142965603307 12.7555162216 -0.755501504083 -0.0260438600853 22.8348813579 -0.628299295188 -0.029461374534
0.451711 7.80586818771 -0.576829867766 -0.0143062032668 12.7494365084 -0.754814904807 -0.026064809883 22.830085021 -0.627743331761 -0.0294618715762
0.453325 7.8014676589 -0.576317695479 -0.0143172959094 12.7434155452 -0.754096912587 -0.0260849317611 22.8253268509 -0.627162212901 -0.0294629623663
0.454939 7.79708664679 -0.575786038179 -0.0143258032556 12.7374064154 -0.753348999925 -0.0261023094673 22.820552014 -0.626557813193 -0.0294616148167
0.456553 7.79270739301 -0.57523455211 -0.0143350887255 12.7314060772 -0.752565530159 -0.026120175921 22.8157850939 -0.625929565969 -0.0294594330966
0.458167 7.78833246841 -0.574664011027 -0.0143450322758 12.7253842391 -0.751752319117 -0.026136094451 22.811030882 -0.625278287061 -0.02945693929
0.459781 7.7839741938 -0.57407377576 -0.0143531350308 12.7193966509 -0.750909242223 -0.0261516921421 22.8063100036 -0.624604508972 -0.0294525254784
0.461394 7.77962063587 -0.573465372145 -0.0143616406162 12.7134041878 -0.7500329003 -0.0261654739961 22.8015557917 -0.623908362951 -0.0294476233277
0.463008 7.77527804462 -0.572839263518 -0.0143691133651 12.7074459746 -0.749127422941 -0.0261784933466 22.7968603299 -0.623188001914 -0.0294415324256
0.464622 7.7709412492 -0.572194959873 -0.0143762550271 12.7014908032 -0.748191716396 -0.0261919472765 22.7921640348 -0.622444316691 -0.0294344106853
0.466236 7.76661278712 -0.571533057881 -0.0143825239777 12.69551109 -0.747226482743 -0.0262032907826 22.7874264897 -0.621680000622 -0.029425797274
0.46785 7.76229550005 -0.570852661708 -0.0143896408842 12.6895774185 -0.746229747403 -0.0262140530344 22.7827556112 -0.62089401037 -0.0294160621925
0.469464 7.75798577132 -0.570154038021 -0.0143957372029 12.6836477471 -0.745205698707 -0.0262238852823 22.7780768578 -0.62008501927 -0.0294051916891
0.471078 7.75369230927 -0.569436696399 -0.0144006095591 12.6777386174 -0.744150389154 -0.0262314287748 22.773401146 -0.61925492524 -0.0293918111788
0.472692 7.74939503472 -0.568704530601 -0.0144066238318 12.6718255709 -0.743066150416 -0.0262377805944 22.7687263509 -0.618403909109 -0.0293767289989
0.474306 7.74511942685 -0.567953265202 -0.0144104410141 12.6659291912 -0.741951831655 -0.0262440578265 22.7640721391 -0.617531740048 -0.0293619051478
0.47592 7.74084811897 -0.567184722288 -0.01441504332 12.6600288947 -0.740810464538 -0.0262477292173 22.7594473024 -0.61663874472 -0.0293446017086
0.477534 7.73659378195 -0.566401520198 -0.0144198898742 12.6541698067 -0.739641766987 -0.0262543264434 22.7548215906 -0.615724383545 -0.0293264061811
0.479148 7.73234141159 -0.565600953093 -0.0144228895476 12.6483194686 -0.738443797748 -0.0262555128274 22.7502135039 -0.614790181937 -0.0293069973158
0.480762 7.72810580792 -0.564781840554 -0.0144259432181 12.6424692139 -0.737215860156 -0.0262580312888 22.7456132089 -0.6138367174 -0.0292868863628
0.482376 7.72387568341 -0.563949079672 -0.0144279549252 12.6366267508 -0.73596172504 -0.0262588339139 22.7410217471 -0.612860879511 -0.0292640583208
0.48399 7.71965301307 -0.563101232528 -0.014431584674 12.6308264545 -0.734681147821 -0.0262595677828 22.7364548271 -0.61186811786 -0.0292409581896
0.485604 7.71545005108 -0.562235894535 -0.0144339564595 12.6250173664 -0.733372465582 -0.026258102894 22.731880032 -0.610854724527 -0.0292155426353
0.487218 7.7112514141 -0.561353909029 -0.014435759367 12.6192376951 -0.732037062491 -0.0262541209152 22.727313112 -0.609821188264 -0.0291919579132
0.488832 7.70706462712 -0.560458849345 -0.0144361471028 12.6134580237 -0.730673086461 -0.0262516572675 22.7227834836 -0.608768419899 -0.0291645577656
0.490445 7.70289069016 -0.559546875898 -0.0144383225045 12.6076910607 -0.72928121916 -0.026247643615 22.7182538553 -0.607698897358 -0.0291360871955
0.492059 7.69873117404 -0.558621489104 -0.0144384363997 12.601944681 -0.727863788506 -0.0262431653723 22.7137163103 -0.606607490633 -0.0291076437037
0.493673 7.69457763293 -0.557680652715 -0.0144385217509 12.5962071347 -0.726421879502 -0.0262378008725 22.7092493903 -0.605500841814 -0.0290779902047
0.495287 7.69043957932 -0.556726895899 -0.0144385578081 12.5904892551 -0.724953010896 -0.0262316963686 22.7047452203 -0.604373631729 -0.0290474267011
0.496901 7.68630633822 -0.555757114483 -0.0144374196505 12.5847801671 -0.723460257269 -0.0262261993606 22.7002910503 -0.603230289129 -0.0290162898583
0.498515 7.68218906379 -0.554772132642 -0.0144361955746 12.5790886625 -0.721940019872 -0.0262186094273 22.6957820053 -0.602068142767 -0.0289833471749
0.500129 7.67808003937 -0.553773689121 -0.0144345301605 12.5734541579 -0.720394722457 -0.0262115694902 22.6913484604 -0.60088906306 -0.0289499040694
0.501743 7.67398149412 -0.55276307309 -0.0144325582436 12.5677911533 -0.718824247939 -0.0262041141312 22.6869061238 -0.599691205418 -0.0289147730414
0.503357 7.66989669056 -0.551738188297 -0.0144310177418 12.5621487321 -0.717229249237 -0.0261942208461 22.6824892038 -0.598476562765 -0.028879346175
0.504971 7.66582884534 -0.550698097657 -0.0144293920677 12.5565190191 -0.715611432183 -0.0261874600586 22.6780889506 -0.597247585935 -0.0288443601364
0.506585 7.66176363761 -0.549647981177 -0.014425699973 12.5509266396 -0.713967609278 -0.0261778759303 22.673659364 -0.595999837838 -0.0288082540922
