x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.86376 9.47384 0.184813 -1.91012e-05 14.4927 0.177021 0.000257049 23.7421 0.0977275 -9.83605e-05
-3.85976 9.47295 0.185198 -1.89428e-05 14.4918 0.177396 0.000256792 23.7417 0.0979408 -9.88167e-05
-3.85575 9.47206 0.185583 -1.89142e-05 14.491 0.17777 0.000256579 23.7412 0.0981549 -9.91769e-05
-3.85175 9.47117 0.185969 -1.86724e-05 14.4901 0.178147 0.000256295 23.7407 0.0983694 -9.96405e-05
-3.84775 9.47028 0.186357 -1.86049e-05 14.4893 0.178525 0.000256073 23.7403 0.0985846 -0.000100071
-3.84375 9.46939 0.186746 -1.84754e-05 14.4884 0.178902 0.000255816 23.7398 0.0988005 -0.000100608
-3.83975 9.46849 0.187134 -1.83783e-05 14.4876 0.179282 0.000255617 23.7393 0.0990172 -0.000101148
-3.83575 9.46759 0.187524 -1.83358e-05 14.4867 0.179662 0.000255396 23.7389 0.0992343 -0.000101556
-3.83175 9.46669 0.187914 -1.81753e-05 14.4859 0.180043 0.000255183 23.7384 0.0994515 -0.000101961
-3.82774 9.46579 0.188307 -1.80779e-05 14.485 0.180426 0.000255042 23.7379 0.0996697 -0.000102428
-3.82374 9.46489 0.188701 -1.79029e-05 14.4841 0.180809 0.000254804 23.7375 0.0998888 -0.000102992
-3.81974 9.46398 0.189093 -1.7837e-05 14.4833 0.181193 0.000254562 23.737 0.100108 -0.000103317
-3.81574 9.46308 0.189489 -1.75719e-05 14.4824 0.181578 0.000254364 23.7365 0.100328 -0.000103796
-3.81174 9.46217 0.189886 -1.73984e-05 14.4815 0.181965 0.000254181 23.7361 0.100549 -0.000104319
-3.80774 9.46125 0.190281 -1.73996e-05 14.4807 0.182352 0.000253995 23.7356 0.100769 -0.000104694
-3.80373 9.46035 0.19068 -1.72229e-05 14.4798 0.18274 0.000253809 23.7351 0.100991 -0.00010534
-3.79973 9.45943 0.191079 -1.7036e-05 14.4789 0.183129 0.000253486 23.7346 0.101213 -0.000105835
